dt_recebimento,no_file,processo_no_esfera,processo_nu_processo,processo_no_municipio_uf,processo_sg_uf,processo_no_razao_social_empreendedor,processo_no_fantasia_empreendedor,processo_nu_cpfcnpj_empreendedor,empreendedor_tx_email,empreendedor_tx_logradouro,empreendedor_tx_complemento,empreendedor_tx_bairro,empreendedor_tx_numero,empreendedor_tx_cep,empreendedor_municipio_uf,no_emprendimento,sq_area_maritima,no_area_maritima,no_tipologia,tipo_relatorio,nu_processo_relatorio,no_processo_relatorio_titulo,no_processo_relatorio_subtitulo,dt_processo_relatorio_inicial,dt_processo_relatorio_final,no_relatorio_planilha,no_subtitulo_planilha,no_taxon_grupo,no_metodo,ua_ds_unidade_amostral,ua_tp_geometria,ua_no_criterio_calculo_ponto_central,ua_ponto_central_ocorrencia_longitude,ua_ponto_central_ocorrencia_latitude,localidade_sq_unidade_amostral,localidade_modulo,localidade_parcela,localidade_transecto,esforco_obs,esforco_id_provi,esforco_asv,esforco_data_final,esforco_cod_ua,esforco_data_inicial,bio_obs,bio_nome_comum,bio_id_provi,bio_resp_registro,bio_autor,bio_forofito_nome_cientifico,bio_destino,bio_taxon_incerteza,bio_destinacao_biota,bio_forofito_nome_comum,bio_estado_animal,bio_data,bio_num_individuos_b,bio_coletor,sintax_recorte_taxonomico,de_nivel_taxonomico,nu_relatorio,sintax_subespecie,sintax_especie,sintax_genero,sintax_familia,sintax_ordem,sintax_classe,sintax_filo,sintax_reino,co_ameaca_oficial,ds_ameaca_oficial,ocorrencia_biodiversidade_precisao,ocorrencia_longitude,ocorrencia_latitude,ocorrencia_datum,coordenada_unica_esforco_precisao,esforco_coord_unica_long,esforco_coord_unica_lat,esforco_coord_unica_datum,sg_estado,co_estado_ibge,no_estado,sq_estado,no_municipio,co_municipio_ibge,sq_municipio,no_uc_esfera,sg_uc_tipo,sq_uc,no_uc,sg_uc,co_cnuc,caverna_nu_canie_registro,caverna_no_canie,caverna_sg_estado,caverna_no_estado,caverna_no_municipio,url_midia_digital
05/21/2024 11:23:08,16899630891579210748_flora_-_replantio.xls,Federal,02001.002198/2002-51,Canaã dos Carajás / PA|Parauapebas / PA,PA,VALE S. A.,VALE S. A.,33.592.510/0130-51,sistemas.laf@ibama.gov.br,ESTRADA RAYMUNDO MASCARENHAS,,SERRA DOS CARAJÁS,S/N,68516-000,Parauapebas/PA,"Mineração de manganês da Mina do Azul, na FLONA de Carajás / PA.",,,Mineração,Monitoramento,0001/2024-03,Monitoramento - Biodiversidade - 0 - Dados Legados,,01/01/2014,11/30/2023,Flora - Replantio,,Flora,Replantio,união das pequenas áreas de replantiio,MultiPolygon,Centroid,-50.2478115854452,-6.48190977857776,105,mozartinopolis,,,,2016,,12/31/2016,mozartinopolis,01/01/2016,,Açaí-da-mata,2016,,,,,,,,,,120,,Reino - Plantae,Espécie,0001/2024-03,,Euterpe precatoria,Euterpe,Arecaceae,Arecales,Liliopsida,Magnoliophyta,Plantae,,,Centróide da UA,-50.2478115854452,-6.48190977857776,SIRGAS-2000,,,,SIRGAS-2000,PA,15,Pará,6,Canaã dos Carajás,1502152,2554,,,,,,,,,,,,
05/21/2024 11:23:08,16899630891579210748_flora_-_replantio.xls,Federal,02001.002198/2002-51,Canaã dos Carajás / PA|Parauapebas / PA,PA,VALE S. A.,VALE S. A.,33.592.510/0130-51,sistemas.laf@ibama.gov.br,ESTRADA RAYMUNDO MASCARENHAS,,SERRA DOS CARAJÁS,S/N,68516-000,Parauapebas/PA,"Mineração de manganês da Mina do Azul, na FLONA de Carajás / PA.",,,Mineração,Monitoramento,0001/2024-03,Monitoramento - Biodiversidade - 0 - Dados Legados,,01/01/2014,11/30/2023,Flora - Replantio,,Flora,Replantio,união das pequenas áreas de replantiio,MultiPolygon,Centroid,-50.2478115854452,-6.48190977857776,105,mozartinopolis,,,,2017,,12/31/2017,mozartinopolis,01/01/2017,,Açaí-da-mata,2017,,,,,,,,,,215,,Reino - Plantae,Espécie,0001/2024-03,,Euterpe precatoria,Euterpe,Arecaceae,Arecales,Liliopsida,Magnoliophyta,Plantae,,,Centróide da UA,-50.2478115854452,-6.48190977857776,SIRGAS-2000,,,,SIRGAS-2000,PA,15,Pará,6,Canaã dos Carajás,1502152,2554,,,,,,,,,,,,
05/21/2024 11:23:08,16899630891579210748_flora_-_replantio.xls,Federal,02001.002198/2002-51,Canaã dos Carajás / PA|Parauapebas / PA,PA,VALE S. A.,VALE S. A.,33.592.510/0130-51,sistemas.laf@ibama.gov.br,ESTRADA RAYMUNDO MASCARENHAS,,SERRA DOS CARAJÁS,S/N,68516-000,Parauapebas/PA,"Mineração de manganês da Mina do Azul, na FLONA de Carajás / PA.",,,Mineração,Monitoramento,0001/2024-03,Monitoramento - Biodiversidade - 0 - Dados Legados,,01/01/2014,11/30/2023,Flora - Replantio,,Flora,Replantio,união das pequenas áreas de replantiio,MultiPolygon,Centroid,-50.2478115854452,-6.48190977857776,105,mozartinopolis,,,,2019,,12/31/2019,mozartinopolis,01/01/2019,,Tanibuca-folha-peluda,2019,,,,,,,,,,402,,Reino - Plantae,Espécie,0001/2024-03,,Buchenavia tomentosa,Buchenavia,Combretaceae,Myrtales,Magnoliopsida,Magnoliophyta,Plantae,,,Centróide da UA,-50.2478115854452,-6.48190977857776,SIRGAS-2000,,,,SIRGAS-2000,PA,15,Pará,6,Canaã dos Carajás,1502152,2554,,,,,,,,,,,,
05/21/2024 11:23:08,16899630891579210748_flora_-_replantio.xls,Federal,02001.002198/2002-51,Canaã dos Carajás / PA|Parauapebas / PA,PA,VALE S. A.,VALE S. A.,33.592.510/0130-51,sistemas.laf@ibama.gov.br,ESTRADA RAYMUNDO MASCARENHAS,,SERRA DOS CARAJÁS,S/N,68516-000,Parauapebas/PA,"Mineração de manganês da Mina do Azul, na FLONA de Carajás / PA.",,,Mineração,Monitoramento,0001/2024-03,Monitoramento - Biodiversidade - 0 - Dados Legados,,01/01/2014,11/30/2023,Flora - Replantio,,Flora,Replantio,união das pequenas áreas de replantiio,MultiPolygon,Centroid,-50.2478115854452,-6.48190977857776,105,mozartinopolis,,,,2020,,12/31/2020,mozartinopolis,01/01/2020,,Tanibuca-folha-peluda,2020,,,,,,,,,,95,,Reino - Plantae,Espécie,0001/2024-03,,Buchenavia tomentosa,Buchenavia,Combretaceae,Myrtales,Magnoliopsida,Magnoliophyta,Plantae,,,Centróide da UA,-50.2478115854452,-6.48190977857776,SIRGAS-2000,,,,SIRGAS-2000,PA,15,Pará,6,Canaã dos Carajás,1502152,2554,,,,,,,,,,,,
05/21/2024 11:23:08,16899630891579210748_flora_-_replantio.xls,Federal,02001.002198/2002-51,Canaã dos Carajás / PA|Parauapebas / PA,PA,VALE S. A.,VALE S. A.,33.592.510/0130-51,sistemas.laf@ibama.gov.br,ESTRADA RAYMUNDO MASCARENHAS,,SERRA DOS CARAJÁS,S/N,68516-000,Parauapebas/PA,"Mineração de manganês da Mina do Azul, na FLONA de Carajás / PA.",,,Mineração,Monitoramento,0001/2024-03,Monitoramento - Biodiversidade - 0 - Dados Legados,,01/01/2014,11/30/2023,Flora - Replantio,,Flora,Replantio,união das pequenas áreas de replantiio,MultiPolygon,Centroid,-50.2478115854452,-6.48190977857776,105,mozartinopolis,,,,2022,,12/31/2022,mozartinopolis,01/01/2022,,Tanibuca-folha-peluda,2022,,,,,,,,,,320,,Reino - Plantae,Espécie,0001/2024-03,,Buchenavia tomentosa,Buchenavia,Combretaceae,Myrtales,Magnoliopsida,Magnoliophyta,Plantae,,,Centróide da UA,-50.2478115854452,-6.48190977857776,SIRGAS-2000,,,,SIRGAS-2000,PA,15,Pará,6,Canaã dos Carajás,1502152,2554,,,,,,,,,,,,
05/21/2024 11:23:08,16899630891579210748_flora_-_replantio.xls,Federal,02001.002198/2002-51,Canaã dos Carajás / PA|Parauapebas / PA,PA,VALE S. A.,VALE S. A.,33.592.510/0130-51,sistemas.laf@ibama.gov.br,ESTRADA RAYMUNDO MASCARENHAS,,SERRA DOS CARAJÁS,S/N,68516-000,Parauapebas/PA,"Mineração de manganês da Mina do Azul, na FLONA de Carajás / PA.",,,Mineração,Monitoramento,0001/2024-03,Monitoramento - Biodiversidade - 0 - Dados Legados,,01/01/2014,11/30/2023,Flora - Replantio,,Flora,Replantio,união das pequenas áreas de replantiio,MultiPolygon,Centroid,-50.2478115854452,-6.48190977857776,105,mozartinopolis,,,,2016,,12/31/2016,mozartinopolis,01/01/2016,,Para-pará,2016,,,,,,,,,,301,,Reino - Plantae,Espécie,0001/2024-03,,Jacaranda copaia,Jacaranda,Bignoniaceae,Scrophulariales,Magnoliopsida,Magnoliophyta,Plantae,,,Centróide da UA,-50.2478115854452,-6.48190977857776,SIRGAS-2000,,,,SIRGAS-2000,PA,15,Pará,6,Canaã dos Carajás,1502152,2554,,,,,,,,,,,,
05/21/2024 11:23:08,16899630891579210748_flora_-_replantio.xls,Federal,02001.002198/2002-51,Canaã dos Carajás / PA|Parauapebas / PA,PA,VALE S. A.,VALE S. A.,33.592.510/0130-51,sistemas.laf@ibama.gov.br,ESTRADA RAYMUNDO MASCARENHAS,,SERRA DOS CARAJÁS,S/N,68516-000,Parauapebas/PA,"Mineração de manganês da Mina do Azul, na FLONA de Carajás / PA.",,,Mineração,Monitoramento,0001/2024-03,Monitoramento - Biodiversidade - 0 - Dados Legados,,01/01/2014,11/30/2023,Flora - Replantio,,Flora,Replantio,união das pequenas áreas de replantiio,MultiPolygon,Centroid,-50.2478115854452,-6.48190977857776,105,mozartinopolis,,,,2019,,12/31/2019,mozartinopolis,01/01/2019,,Para-pará,2019,,,,,,,,,,51,,Reino - Plantae,Espécie,0001/2024-03,,Jacaranda copaia,Jacaranda,Bignoniaceae,Scrophulariales,Magnoliopsida,Magnoliophyta,Plantae,,,Centróide da UA,-50.2478115854452,-6.48190977857776,SIRGAS-2000,,,,SIRGAS-2000,PA,15,Pará,6,Canaã dos Carajás,1502152,2554,,,,,,,,,,,,
05/21/2024 11:23:08,16899630891579210748_flora_-_replantio.xls,Federal,02001.002198/2002-51,Canaã dos Carajás / PA|Parauapebas / PA,PA,VALE S. A.,VALE S. A.,33.592.510/0130-51,sistemas.laf@ibama.gov.br,ESTRADA RAYMUNDO MASCARENHAS,,SERRA DOS CARAJÁS,S/N,68516-000,Parauapebas/PA,"Mineração de manganês da Mina do Azul, na FLONA de Carajás / PA.",,,Mineração,Monitoramento,0001/2024-03,Monitoramento - Biodiversidade - 0 - Dados Legados,,01/01/2014,11/30/2023,Flora - Replantio,,Flora,Replantio,união das pequenas áreas de replantiio,MultiPolygon,Centroid,-50.2478115854452,-6.48190977857776,105,mozartinopolis,,,,2020,,12/31/2020,mozartinopolis,01/01/2020,,Pará-pará,2020,,,,,,,,,,128,,Reino - Plantae,Espécie,0001/2024-03,,Jacaranda copaia,Jacaranda,Bignoniaceae,Scrophulariales,Magnoliopsida,Magnoliophyta,Plantae,,,Centróide da UA,-50.2478115854452,-6.48190977857776,SIRGAS-2000,,,,SIRGAS-2000,PA,15,Pará,6,Canaã dos Carajás,1502152,2554,,,,,,,,,,,,
05/21/2024 11:23:08,16899630891579210748_flora_-_replantio.xls,Federal,02001.002198/2002-51,Canaã dos Carajás / PA|Parauapebas / PA,PA,VALE S. A.,VALE S. A.,33.592.510/0130-51,sistemas.laf@ibama.gov.br,ESTRADA RAYMUNDO MASCARENHAS,,SERRA DOS CARAJÁS,S/N,68516-000,Parauapebas/PA,"Mineração de manganês da Mina do Azul, na FLONA de Carajás / PA.",,,Mineração,Monitoramento,0001/2024-03,Monitoramento - Biodiversidade - 0 - Dados Legados,,01/01/2014,11/30/2023,Flora - Replantio,,Flora,Replantio,união das pequenas áreas de replantiio,MultiPolygon,Centroid,-50.2478115854452,-6.48190977857776,105,mozartinopolis,,,,2022,,12/31/2022,mozartinopolis,01/01/2022,,Para-pará,2022,,,,,,,,,,128,,Reino - Plantae,Espécie,0001/2024-03,,Jacaranda copaia,Jacaranda,Bignoniaceae,Scrophulariales,Magnoliopsida,Magnoliophyta,Plantae,,,Centróide da UA,-50.2478115854452,-6.48190977857776,SIRGAS-2000,,,,SIRGAS-2000,PA,15,Pará,6,Canaã dos Carajás,1502152,2554,,,,,,,,,,,,
05/21/2024 11:23:08,16899630891579210748_flora_-_replantio.xls,Federal,02001.002198/2002-51,Canaã dos Carajás / PA|Parauapebas / PA,PA,VALE S. A.,VALE S. A.,33.592.510/0130-51,sistemas.laf@ibama.gov.br,ESTRADA RAYMUNDO MASCARENHAS,,SERRA DOS CARAJÁS,S/N,68516-000,Parauapebas/PA,"Mineração de manganês da Mina do Azul, na FLONA de Carajás / PA.",,,Mineração,Monitoramento,0001/2024-03,Monitoramento - Biodiversidade - 0 - Dados Legados,,01/01/2014,11/30/2023,Flora - Replantio,,Flora,Replantio,união das pequenas áreas de replantiio,MultiPolygon,Centroid,-50.2478115854452,-6.48190977857776,105,mozartinopolis,,,,2015,,12/31/2015,mozartinopolis,01/01/2015,,Ingá-chato,2015,,,,,,,,,,86,,Reino - Plantae,Espécie,0001/2024-03,,Inga splendens,Inga,Fabaceae,Fabales,Magnoliopsida,Magnoliophyta,Plantae,,,Centróide da UA,-50.2478115854452,-6.48190977857776,SIRGAS-2000,,,,SIRGAS-2000,PA,15,Pará,6,Canaã dos Carajás,1502152,2554,,,,,,,,,,,,
